word,Reading,JLPT Level
寄贈,きぞう,N1
偽造,ぎぞう,N1
貴族,きぞく,N1
議題,ぎだい,N1
鍛える,きたえる,N1
気立て,きだて,N1
来る,きたる,N1
きちっと,きちっと,N1
几帳面,きちょうめん,N1
きっかり,きっかり,N1
きっちり,きっちり,N1
きっぱり,きっぱり,N1
規定,きてい,N1
起点,きてん,N1
軌道,きどう,N1
技能,ぎのう,N1
規範,きはん,N1
気品,きひん,N1
気風,きふう,N1
起伏,きふく,N1
規模,きぼ,N1
気まぐれ,きまぐれ,N1
生真面目,きまじめ,N1
期末,きまつ,N1
きまりわるい,きまりわるい,N1
記名,きめい,N1
規約,きやく,N1
脚色,きゃくしょく,N1
逆転,ぎゃくてん,N1
脚本,きゃくほん,N1
華奢,きゃしゃ,N1
客観,きゃっかん,N1
キャッチ,キャッチ,N1
キャリア,キャリア,N1
救援,きゅうえん,N1
休学,きゅうがく,N1
究極,きゅうきょく,N1
窮屈,きゅうくつ,N1
球根,きゅうこん,N1
救済,きゅうさい,N1
給仕,きゅうじ,N1
給食,きゅうしょく,N1
休戦,きゅうせん,N1
宮殿,きゅうでん,N1
旧知,きゅうち,N1
窮乏,きゅうぼう,N1
寄与,きよ,N1
強,きょう,N1
～狂,～きょう,N1
驚異,きょうい,N1
教科,きょうか,N1
協会,きょうかい,N1
共学,きょうがく,N1
共感,きょうかん,N1
境遇,きょうぐう,N1
教訓,きょうくん,N1
強行,きょうこう,N1
強硬,きょうこう,N1
教材,きょうざい,N1
凶作,きょうさく,N1
業者,ぎょうしゃ,N1
教習,きょうしゅう,N1
郷愁,きょうしゅう,N1
教職,きょうしょく,N1
興じる,きょうじる,N1
強制,きょうせい,N1
行政,ぎょうせい,N1
業績,ぎょうせき,N1
共存,きょうぞん,N1
協定,きょうてい,N1
郷土,きょうど,N1
脅迫,きょうはく,N1
業務,ぎょうむ,N1
共鳴,きょうめい,N1
郷里,きょうり,N1
強烈,きょうれつ,N1
共和,きょうわ,N1
局限,きょくげん,N1
極端,きょくたん,N1
居住,きょじゅう,N1
拒絶,きょぜつ,N1
漁船,ぎょせん,N1
漁村,ぎょそん,N1
拒否,きょひ,N1
許容,きょよう,N1
清らか,きよらか,N1
きらびやか,きらびやか,N1
～きり,～きり,N1
義理,ぎり,N1
切替,きりかえ,N1
気流,きりゅう,N1
切れ目,きれめ,N1
疑惑,ぎわく,N1
極めて,きわめて,N1
近眼,きんがん,N1
緊急,きんきゅう,N1
近郊,きんこう,N1
均衡,きんこう,N1
禁じる,きんじる,N1
勤勉,きんべん,N1
吟味,ぎんみ,N1
勤務,きんむ,N1
禁物,きんもつ,N1
勤労,きんろう,N1
クイズ,クイズ,N1
食い違う,くいちがう,N1
空間,くうかん,N1
空腹,くうふく,N1
区画,くかく,N1
区間,くかん,N1
茎,くき,N1
区切り,くぎり,N1
くぐる,くぐる,N1
くじ ,くじ ,N1
くじびき,くじびき,N1
くすぐったい,くすぐったい,N1
愚痴,ぐち,N1
口吟む,くちずさむ,N1
嘴,くちばし,N1
朽ちる,くちる,N1
覆す,くつがえす,N1
くっきり,くっきり,N1
屈折,くっせつ,N1
ぐっと,ぐっと,N1
首飾り,くびかざり,N1
首輪,くびわ,N1
組み込む,くみこむ,N1
組み合わせる,くみあわせる,N1
蔵,くら,N1
グレー,グレー,N1
クレーン,クレーン,N1
玄人,くろうと,N1
黒字,くろじ,N1
軍艦,ぐんかん,N1
軍事,ぐんじ,N1
君主,くんしゅ,N1
群集,ぐんしゅう,N1
群衆,ぐんしゅう,N1
軍備,ぐんび,N1
軍服,ぐんぷく,N1
芸,げい,N1
経過,けいか,N1
軽快,けいかい,N1
警戒,けいかい,N1
敬具,けいぐ,N1
軽減,けいげん,N1
掲載,けいさい,N1
傾斜,けいしゃ,N1
形成,けいせい,N1
形勢,けいせい,N1
軽率,けいそつ,N1
刑罰,けいばつ,N1
経費,けいひ,N1
警部,けいぶ,N1
転換,てんかん,N1
転居,てんきょ,N1
転勤,てんきん,N1
点検,てんけん,N1
電源,でんげん,N1
天国,てんごく,N1
天才,てんさい,N1
天災,てんさい,N1
展示,てんじ,N1
伝説,でんせつ,N1
点線,てんせん,N1
転じる,てんじる,N1
転ずる,てんずる,N1
天体,てんたい,N1
伝達,でんたつ,N1
天地,てんち,N1
てんで,てんで,N1
転任,てんにん,N1
展望,てんぼう,N1
伝来,でんらい,N1
転落,てんらく,N1
